Time,Acc
5.747,0.0
5.758,0.0
5.768,0.0
5.786,0.0
5.789,0.0
5.806,0.0
5.808,0.0
5.817,0.0
5.828,0.0
5.838,0.0
5.848,0.0
5.858,0.0
5.868,0.0
5.886,0.0
5.887,0.0
5.906,0.0
5.908,0.0
5.918,0.0
5.929,0.0
5.939,0.0
5.949,0.0
5.963,0.0
5.969,0.0
5.979,0.0
5.988,0.0
6.002,0.0
6.025,0.0
6.026,0.0
6.028,0.0
6.038,0.0
6.049,0.0
6.6,0.0
6.069,0.0
6.079,0.0
6.089,0.0
6.102,0.0
6.12,0.0
6.121,0.0
6.13,0.0
6.139,0.0
6.149,0.0
6.162,0.0
6.17,0.0
6.179,0.0
6.189,0.0
6.201,0.0
6.219,0.0
6.22,0.0
6.229,0.0
6.24,0.0
6.25,0.0
6.271,0.0
6.272,0.0
6.281,0.0
6.29,0.0
6.3,0.0
6.311,0.0
6.32,0.0
6.33,0.0
6.34,0.0
6.35,0.0
6.362,0.0
6.371,0.0
6.38,0.0
6.39,0.0
6.403,0.0
6.423,0.0
6.424,0.0
6.43,0.0
6.441,0.0
6.451,0.0
6.463,0.0
6.471,0.0
6.481,0.0
6.491,0.0
6.503,0.0
6.527,0.0
6.528,0.0
6.531,0.0
6.541,0.0
6.551,0.0
6.562,0.0
6.571,0.0
6.582,0.0
6.591,0.0
6.602,0.0
6.62,0.0
6.621,0.0
6.631,0.0
6.642,0.0
6.652,0.0
6.663,0.0
6.672,0.0
6.682,0.0
6.692,0.0
6.703,0.0
6.723,0.0
6.725,0.0
6.732,0.0
6.742,0.0
6.752,0.0
6.762,0.0
6.772,0.0
6.783,0.0
6.792,0.0
6.803,0.0
6.823,0.0
6.825,0.0
6.832,0.0
6.845,0.0
6.853,0.0
6.863,0.0
6.873,0.0
6.883,0.0
6.903,0.0
6.904,0.0
6.923,0.0
6.924,0.0
6.934,0.0
6.946,0.0
6.953,0.0
6.963,0.0
6.974,0.0
6.983,0.0
7.004,-0.0179
7.005,-0.0011999999999999997
7.021,0.027499999999999997
7.023,0.032299999999999995
7.034,0.017999999999999995
7.046,-0.003600000000000006
7.053,0.003599999999999999
7.063,-0.0011999999999999997
7.074,-0.046700000000000005
7.084,-0.013200000000000003
7.103,-0.025099999999999997
7.104,-0.032299999999999995
7.115,0.008399999999999998
7.124,-0.0011999999999999997
7.134,-0.003600000000000006
7.145,-0.003600000000000006
7.154,0.0203
7.164,-0.006000000000000005
7.174,-0.013200000000000003
7.184,-0.003600000000000006
7.203,-0.03470000000000001
7.204,0.0299
7.22,-0.0011999999999999997
7.225,-0.032299999999999995
7.234,0.0467
7.246,0.0299
7.254,0.0634
7.265,0.18080000000000002
7.275,0.2526
7.284,0.4872
7.303,0.6859
7.304,0.7578
7.322,0.9037999999999999
7.324,0.923
7.334,0.8654999999999999
7.345,0.8583000000000001
7.355,0.6356999999999999
7.365,0.48
7.375,0.4441
7.385,0.12569999999999998
7.402,-0.013200000000000003
7.406,-0.1449
7.421,-0.2909
7.425,-0.3436
7.435,-0.2933
7.446,-0.23349999999999999
7.455,-0.11380000000000001
7.466,0.0586
7.475,0.2238
7.486,0.4201
7.503,0.5662
7.506,0.6907000000000001
7.52,0.7721
7.526,0.7434000000000001
7.536,0.7410000000000001
7.546,0.6596
7.556,0.5206999999999999
7.566,0.4082
7.576,0.231
7.586,0.1065
7.603,-0.0635
7.606,-0.14730000000000001
7.621,-0.1664
7.626,-0.2071
7.636,-0.1641
7.647,-0.09459999999999999
7.657,0.0058999999999999955
7.666,0.1376
7.677,0.2357
7.687,0.3626
7.701,0.4393
7.706,0.5326
7.719,0.5518000000000001
7.726,0.5638000000000001
7.736,0.6093
7.747,0.5853999999999999
7.757,0.5495
7.767,0.5375
7.78,0.4824
7.79,0.4704
7.798,0.4704
7.807,0.4345
7.817,0.4896
7.828,0.4417
7.837,0.4704
7.854,0.523
7.857,0.5949
7.867,0.6068
7.878,0.6618999999999999
7.887,0.7481
7.897,0.7481
7.908,0.7648999999999999
7.92,0.8056000000000001
7.938,0.7721
7.939,0.7362
7.948,0.7242
7.958,0.7194
7.968,0.7121999999999999
7.981,0.6931
7.988,0.6642999999999999
7.998,0.6762999999999999
8.008,0.6906000000000001
8.2,0.7361
8.038,0.7744
8.039,0.772
8.048,0.7864
8.058,0.851
8.068,0.8582000000000001
8.081,0.8749
8.089,0.8749
8.098,0.8654
8.109,0.8702000000000001
8.12,0.8702000000000001
8.138,0.8413999999999999
8.139,0.8223
8.148,0.8223
8.159,0.7505
8.169,0.7001999999999999
8.182,0.6786000000000001
8.189,0.7074
8.199,0.7169000000000001
8.209,0.748
8.222,0.7959
8.243,0.7910999999999999
8.244,0.7887
8.249,0.7767
8.259,0.8486
8.269,0.8556999999999999
8.281,0.8222
8.29,0.8342
8.299,0.8582000000000001
8.31,0.7576
8.322,0.7959
8.336,0.8940999999999999
8.339,0.76
8.349,0.6834
8.359,0.8103
8.37,0.7049000000000001
8.382,0.6714
8.39,0.7935000000000001
8.4,0.7744
8.41,0.7361
8.423,0.8079000000000001
8.446,0.8174999999999999
8.448,0.8103
8.45,0.851
8.46,0.8413999999999999
8.47,0.8079000000000001
8.482,0.76
8.49,0.7839
8.504,0.7839
8.513,0.6977
8.523,0.7287999999999999
8.532,0.7264999999999999
8.541,0.7049000000000001
8.55,0.748
8.562,0.7121
8.571,0.7432000000000001
8.581,0.8413999999999999
8.591,0.8246
8.605,0.827
8.612,0.8629
8.623,0.8438000000000001
8.631,0.8126
8.641,0.8533
8.651,0.8749
8.666,0.7456
8.671,0.7743
8.682,0.7935000000000001
8.691,0.7001
8.701,0.6738
8.72,0.6929000000000001
8.721,0.7456
8.738,0.7599
8.741,0.6977
8.752,0.7024999999999999
8.765,0.736
8.771,0.7719
8.781,0.7839
8.791,0.7743
8.804,0.7934000000000001
8.818,0.7743
8.822,0.7192000000000001
8.832,0.7863
8.842,0.8341000000000001
8.852,0.7575000000000001
8.863,0.7623
8.872,0.815
8.882,0.7623
8.892,0.7336
8.904,0.8365
8.924,0.7958000000000001
8.925,0.7863
8.933,0.7263999999999999
8.942,0.6640999999999999
8.953,0.7815000000000001
8.964,0.6809000000000001
8.973,0.7455
8.983,0.8412999999999999
8.993,0.6067
9.005,0.7143999999999999
9.026,0.8389
9.027,0.6594
9.036,0.7767
9.043,0.9059999999999999
9.053,0.7073
9.065,0.7909999999999999
9.073,0.9515
9.083,0.7336
9.093,0.7479
9.105,0.8341000000000001
9.125,0.7336
9.126,0.7526999999999999
9.137,0.7263999999999999
9.144,0.6785000000000001
9.154,0.7
9.165,0.724
9.173,0.7623
9.184,0.6354
9.194,0.7168000000000001
9.205,0.7982
9.222,0.6952
9.224,0.7192000000000001
9.234,0.8053999999999999
9.244,0.7335
9.254,0.8006
9.265,0.8102
9.274,0.7455
9.284,0.7023999999999999
9.295,0.7479
9.307,0.7551000000000001
9.327,0.5994999999999999
9.329,0.7406999999999999
9.336,0.7359
9.346,0.6545000000000001
9.354,0.8197000000000001
9.366,0.7096
9.374,0.5971
9.384,0.8675999999999999
9.395,0.7286999999999999
9.406,0.6113999999999999
9.425,0.7599
9.426,0.7526999999999999
9.434,0.6113999999999999
9.445,0.6066
9.455,0.7072
9.465,0.688
9.475,0.6019000000000001
9.485,0.6569
9.496,0.7143999999999999
9.507,0.5947
9.524,0.6066
9.525,0.7143999999999999
9.535,0.6665000000000001
9.545,0.6066
9.556,0.6234
9.567,0.6234
9.576,0.5874999999999999
9.586,0.5993999999999999
9.607,0.5803
9.608,0.5204
9.623,0.5659000000000001
9.625,0.5492
9.636,0.4462
9.648,0.4271
9.656,0.4702
9.666,0.4893
9.676,0.3169
9.686,0.2667
9.706,0.3888
9.707,0.3121
9.727,0.1805
9.729,0.2499
9.737,0.2307
9.748,0.17809999999999998
9.756,0.20199999999999999
9.767,0.1565
9.777,0.2379
9.787,0.3792
9.807,0.17809999999999998
9.808,0.1805
9.823,0.3193
9.827,0.2116
9.837,0.123
9.849,0.2188
9.857,0.2475
9.867,0.0703
9.877,0.0823
9.887,0.1757
9.907,0.051199999999999996
9.908,-0.035
9.924,0.1374
9.927,0.015300000000000001
9.937,-0.047
9.948,0.10389999999999999
9.957,0.1111
9.967,0.027299999999999998
9.978,0.053599999999999995
9.988,0.053599999999999995
10.007,0.0895
10.008,0.044
10.023,-0.010999999999999996
10.027,0.1231
10.037,0.0584
10.049,0.005699999999999997
10.058,-0.003799999999999998
10.068,0.008199999999999999
10.078,0.0608
10.088,-0.006199999999999997
10.107,-0.023000000000000007
10.108,0.0824
10.123,0.0752
10.128,-0.008599999999999997
10.138,0.0896
10.15,0.1255
10.159,0.0584
10.168,0.0441
10.178,0.0321
10.188,-0.08280000000000001
10.207,0.0896
10.208,0.08
10.227,-0.0996
10.229,0.0321
10.239,0.0369
10.25,-0.07800000000000001
10.259,-0.08760000000000001
10.269,0.0489
10.279,0.0752
10.289,-0.0397
10.307,-0.0804
10.309,-0.013300000000000006
10.326,-0.0421
10.329,0.008199999999999999
10.339,-0.003799999999999998
10.349,0.092
10.359,0.15660000000000002
